16	6	247
1	312.0	363.0	2042	826	0.30
2	237.0	182.0	32	64	0	0.23	32	32	32	32	32	32
3	180.0	332.0	72	108	0	0.32	36	36	36	36	36	36
4	141.0	388.0	182	273	0	0.33	91	91	91	91	91	91
5	163.0	188.0	52	104	0	0.23	52	52	52	52	52	52
6	282.0	374.0	152	228	0	0.18	76	76	76	76	76	76
7	455.0	296.0	20	30	0	0.29	10	10	10	10	10	10
8	326.0	332.0	85	170	0	0.42	85	85	85	85	85	85
9	235.0	432.0	79	158	0	0.42	79	79	79	79	79	79
10	412.0	488.0	22	44	0	0.24	22	22	22	22	22	22
11	113.0	46.0	72	108	0	0.43	36	36	36	36	36	36
12	266.0	302.0	136	204	0	0.18	68	68	68	68	68	68
13	257.0	23.0	46	92	0	0.22	46	46	46	46	46	46
14	363.0	22.0	55	110	0	0.24	55	55	55	55	55	55
15	158.0	81.0	65	130	0	0.31	65	65	65	65	65	65
16	423.0	95.0	146	219	0	0.22	73	73	73	73	73	73
